YEARMODA,TEMP,MAX,MIN,DIFF,DIFF_MIN,TEMP_CELSIUS
20160615,63.4,70.3,49.3,21.0,14.1,17.4
20160617,60.4,70.7,55.9,14.8,4.5,15.8
20160620,59.3,69.1,52.2,16.9,7.1,15.2
20160621,62.6,71.4,50.4,21.0,12.2,17.0
20160622,61.7,70.2,55.4,14.8,6.3,16.5
20160623,60.9,67.1,54.9,12.2,6.0,16.1
20160624,61.1,68.9,56.7,12.2,4.4,16.2
20160625,65.7,75.4,57.9,17.5,7.8,18.7
20160626,69.6,77.7,60.3,17.4,9.3,20.9
20160627,60.7,70.0,,,,15.9
20160628,65.4,73.0,55.8,17.2,9.6,18.6
20160629,65.8,73.2,,,,18.8
20160630,65.7,72.7,59.2,13.5,6.5,18.7
